idx,idx,prompt,p1_bid,p2_true_cost
0,0,"
                    Your supplier disclosed that P1's material costs represent 41.968% 
                    of their total manufacturing cost per unit. Their latest component order shows $9.198 
                    per unit in materials. Standard pricing policy sets final price at 2.260x total manufacturing cost.
                    
                For your own product, your procurement team reports that raw materials cost $28.189 per unit. 
                Manufacturing overhead adds 37.387% to the base cost. 
                Your supplier offers a 4.073% discount per unit.
                ",49.53629298682745,37.15029521461065
1,1,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $67301.125 and variable cost of $7.525 per unit. 
                    They maintain a strict 32.727% operating margin policy.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.958 per unit.
                Due to current factory utilization, overhead costs add 37.229% to production costs.
                The supplier offers a volume incentive of 4.161% per unit.
                ",21.19020353492361,35.45446287330252
2,2,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $29.373 per unit.
                Due to current factory utilization, overhead costs add 33.904% to production costs.
                The supplier offers a volume incentive of 4.296% per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $19.871 per unit, they add overhead at 46.404% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",44.445966324429804,37.64170130215197
3,3,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $9.579 per unit, they add overhead at 41.157% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your manufacturing division reports that current material costs are $26.898 for each unit produced.
                The finance department allocates factory overhead at 34.966% of material costs.
                Your recently negotiated supplier agreement includes a 4.608% progressive discount for each unit ordered.
                ",20.656760250580362,34.63019660617118
4,4,"
                Your manufacturing division reports that current material costs are $26.906 for each unit produced.
                The finance department allocates factory overhead at 23.463% of material costs.
                Your recently negotiated supplier agreement includes a 4.616% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $150119.043. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 30.740%.
                    ",40.69652691233571,31.68548813212331
5,5,"
                Your manufacturing division reports that current material costs are $23.672 for each unit produced.
                The finance department allocates factory overhead at 32.229% of material costs.
                Your recently negotiated supplier agreement includes a 2.987% progressive discount for each unit ordered.
                
                    Your supplier disclosed that P1's material costs represent 44.172% 
                    of their total manufacturing cost per unit. Their latest component order shows $4.637 
                    per unit in materials. Standard pricing policy sets final price at 2.261x total manufacturing cost.
                    ",23.735073812557033,30.36638522918301
6,6,"
                For your own product, your procurement team reports that raw materials cost $29.014 per unit. 
                Manufacturing overhead adds 21.966% to the base cost. 
                Your supplier offers a 2.919% discount per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $19.942 per unit, they add overhead at 41.074% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",42.98165448454697,34.35452588347275
7,7,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $21.606 per unit, they add overhead at 40.699% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your manufacturing division reports that current material costs are $26.558 for each unit produced.
                The finance department allocates factory overhead at 25.312% of material costs.
                Your recently negotiated supplier agreement includes a 2.899% progressive discount for each unit ordered.
                ",46.44466415209955,32.315755994750916
8,8,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $277499.475 and variable cost of $7.255 per unit. 
                    They maintain a strict 30.183% operating margin policy.
                    
                Your manufacturing division reports that current material costs are $29.912 for each unit produced.
                The finance department allocates factory overhead at 31.644% of material costs.
                Your recently negotiated supplier agreement includes a 2.407% progressive discount for each unit ordered.
                ",50.13827459756311,38.42929022256311
9,9,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $31.161 per unit.
                Due to current factory utilization, overhead costs add 26.807% to production costs.
                The supplier offers a volume incentive of 4.431% per unit.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $152589.505. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 39.230%.
                    ",32.41308358775151,37.763486896619916
10,10,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $237328.664 and variable cost of $5.256 per unit. 
                    They maintain a strict 33.125% operating margin policy.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.193 per unit.
                Due to current factory utilization, overhead costs add 29.437% to production costs.
                The supplier offers a volume incentive of 3.723% per unit.
                ",43.34870720805891,32.64097310008772
11,11,"
                Your manufacturing division reports that current material costs are $29.175 for each unit produced.
                The finance department allocates factory overhead at 22.806% of material costs.
                Your recently negotiated supplier agreement includes a 3.863% progressive discount for each unit ordered.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $17.653 per unit, they add overhead at 44.630% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",39.00582148370058,34.44409539040834
12,12,"
                For your own product, your procurement team reports that raw materials cost $25.276 per unit. 
                Manufacturing overhead adds 30.720% to the base cost. 
                Your supplier offers a 2.919% discount per unit.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $214727.397 and variable cost of $8.765 per unit. 
                    They maintain a strict 29.954% operating margin policy.
                    ",43.16764866150466,32.0758718136653
13,13,"
                Your manufacturing division reports that current material costs are $28.455 for each unit produced.
                The finance department allocates factory overhead at 33.637% of material costs.
                Your recently negotiated supplier agreement includes a 2.195% progressive discount for each unit ordered.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $110392.396 and variable cost of $8.868 per unit. 
                    They maintain a strict 33.907% operating margin policy.
                    ",30.120450425939453,37.191826272802246
14,14,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $222447.909 and variable cost of $9.841 per unit. 
                    They maintain a strict 25.786% operating margin policy.
                    
                For your own product, your procurement team reports that raw materials cost $27.761 per unit. 
                Manufacturing overhead adds 25.181% to the base cost. 
                Your supplier offers a 3.076% discount per unit.
                ",43.23453445856416,33.682282642768264
15,15,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $9.738 per unit, they add overhead at 41.037% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                For your own product, your procurement team reports that raw materials cost $27.355 per unit. 
                Manufacturing overhead adds 33.618% to the base cost. 
                Your supplier offers a 2.684% discount per unit.
                ",20.983255462359118,35.57071311921947
16,16,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $116339.958 and variable cost of $8.375 per unit. 
                    They maintain a strict 25.531% operating margin policy.
                    
                Your manufacturing division reports that current material costs are $24.159 for each unit produced.
                The finance department allocates factory overhead at 27.408% of material costs.
                Your recently negotiated supplier agreement includes a 2.414% progressive discount for each unit ordered.
                ",26.868456649273526,30.03801660487045
17,17,"
                For your own product, your procurement team reports that raw materials cost $24.890 per unit. 
                Manufacturing overhead adds 20.449% to the base cost. 
                Your supplier offers a 4.271% discount per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $14.774 per unit, they add overhead at 41.651% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",31.972391806108742,28.699526033861428
