idx,idx,prompt,p1_bid,p2_true_cost
0,0,"
                Your manufacturing division reports that current material costs are $24.086 for each unit produced.
                The finance department allocates factory overhead at 29.776% of material costs.
                Your recently negotiated supplier agreement includes a 3.138% progressive discount for each unit ordered,
                though they maintain a strict minimum order quantity of 9 units.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $33654.912 and variable cost of $8.075 per unit. 
                    They maintain a strict 31.535% operating margin policy.
                    ",16.710032043976536,22.429559288544407
1,1,"
                Your manufacturing division reports that current material costs are $28.149 for each unit produced.
                The finance department allocates factory overhead at 20.733% of material costs.
                Your recently negotiated supplier agreement includes a 2.331% progressive discount for each unit ordered,
                though they maintain a strict minimum order quantity of 9 units.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $17.316 per unit, they add overhead at 43.867% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",38.06069272215976,26.856319362479585
2,2,"
                Your manufacturing division reports that current material costs are $27.230 for each unit produced.
                The finance department allocates factory overhead at 35.884% of material costs.
                Your recently negotiated supplier agreement includes a 3.098% progressive discount for each unit ordered,
                though they maintain a strict minimum order quantity of 9 units.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $8.281 per unit, they add overhead at 48.950% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",18.843471403404024,26.68457161931589
3,3,"
                    Your supplier disclosed that P1's material costs represent 39.148% 
                    of their total manufacturing cost per unit. Their latest component order shows $5.919 
                    per unit in materials. Standard pricing policy sets final price at 2.117x total manufacturing cost.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $27.094 per unit.
                Due to current factory utilization, overhead costs add 22.459% to production costs.
                While the supplier offers a volume incentive of 2.642% per unit, they won't accept orders below 5 units.
                ",32.00808518334745,28.795402697767006
4,4,"
                For your own product, your procurement team reports that raw materials cost $24.540 per unit. 
                Manufacturing overhead adds 28.730% to the base cost. 
                Your supplier offers a 4.561% discount per unit, but requires a minimum order of 5 units.
                
                    Your supplier disclosed that P1's material costs represent 39.485% 
                    of their total manufacturing cost per unit. Their latest component order shows $7.149 
                    per unit in materials. Standard pricing policy sets final price at 2.036x total manufacturing cost.
                    ",36.866674276396196,24.385803075834673
5,5,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $27.331 per unit.
                Due to current factory utilization, overhead costs add 21.854% to production costs.
                While the supplier offers a volume incentive of 4.871% per unit, they won't accept orders below 8 units.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $129165.698. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 35.217%.
                    ",30.56434091858612,20.324757903144224
6,6,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $155278.428. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 36.709%.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.061 per unit.
                Due to current factory utilization, overhead costs add 28.036% to production costs.
                While the supplier offers a volume incentive of 3.905% per unit, they won't accept orders below 8 units.
                ",35.24987832936838,22.94378129872873
7,7,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $21.682 per unit.
                Due to current factory utilization, overhead costs add 37.337% to production costs.
                While the supplier offers a volume incentive of 2.775% per unit, they won't accept orders below 7 units.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $7.159 per unit, they add overhead at 48.472% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",16.239047445911975,23.99357882942638
8,8,"
                Your manufacturing division reports that current material costs are $26.740 for each unit produced.
                The finance department allocates factory overhead at 23.515% of material costs.
                Your recently negotiated supplier agreement includes a 2.624% progressive discount for each unit ordered,
                though they maintain a strict minimum order quantity of 7 units.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $16.110 per unit, they add overhead at 43.258% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",35.25851723312803,26.961594549412215
9,9,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $12.981 per unit, they add overhead at 41.437% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                For your own product, your procurement team reports that raw materials cost $24.737 per unit. 
                Manufacturing overhead adds 35.726% to the base cost. 
                Your supplier offers a 4.400% discount per unit, but requires a minimum order of 8 units.
                ",28.050583757726017,21.756777681676212
10,10,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $9.114 per unit, they add overhead at 41.878% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $29.039 per unit.
                Due to current factory utilization, overhead costs add 38.463% to production costs.
                While the supplier offers a volume incentive of 2.306% per unit, they won't accept orders below 8 units.
                ",19.75498645745639,32.79115646325473
11,11,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $16.585 per unit, they add overhead at 40.404% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $30.938 per unit.
                Due to current factory utilization, overhead costs add 35.872% to production costs.
                While the supplier offers a volume incentive of 3.694% per unit, they won't accept orders below 5 units.
                ",35.57486484607978,34.27079747280402
12,12,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $9.193 per unit, they add overhead at 42.473% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $23.884 per unit.
                Due to current factory utilization, overhead costs add 39.795% to production costs.
                While the supplier offers a volume incentive of 2.520% per unit, they won't accept orders below 7 units.
                ",20.010693238327242,27.49905173594687
13,13,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $29.271 per unit.
                Due to current factory utilization, overhead costs add 38.746% to production costs.
                While the supplier offers a volume incentive of 3.863% per unit, they won't accept orders below 5 units.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $211762.236. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 37.622%.
                    ",46.905643015780434,32.76783421603678
